group_key,domain,category,market_type,leaf_id,price_bin,horizon_bin,price_min,price_max,h_min,h_max,rule_bounds,direction,n_train,n_valid,n_test,n_full,q_smooth,q_raw_est,prior_mean,p_mean,edge_net,edge_sample,edge_std,roi,q_train,q_train_raw,p_train,edge_train,q_valid,p_valid,edge_valid,edge_raw_valid,edge_std_valid,edge_lower_bound_valid,p_value_valid,p_value_valid_adj,q_test,edge_test,rule_score,estimation_source,selection_status,q_trade,p_trade,edge_net_trade,edge_sample_trade,edge_std_trade,roi_trade,q_trade_valid,p_trade_valid,edge_net_trade_valid,edge_sample_trade_valid,edge_std_trade_valid,roi_trade_valid
UNKNOWN|POLITICS|no_yes,UNKNOWN,POLITICS,no_yes,209646623196741,0.50-0.60,6-12h,0.5,0.6,6,12,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 6, ""horizon_max"": 12}",1,136,25,8,169,0.7573529411764706,0.7573529411764706,,0.5498198529411764,0.20753308823529415,0.20753308823529412,0.4178858371027537,0.377456519849416,0.7573529411764706,0.7573529411764706,0.5498198529411764,0.20753308823529415,1.0,0.55158,0.44842000000000004,0.44842,0.9025578026555132,0.31522350604682137,,,0.625,0.08062499999999995,1.5658987879928663,train,selected,0.7573529411764706,0.5498198529411764,0.20753308823529415,0.20753308823529412,0.4178858371027537,0.377456519849416,1.0,0.55158,0.44842000000000004,0.44842,0.9025578026555132,0.8129736393632837
kick.com|SPORTS|over_under,kick.com,SPORTS,over_under,184290280833223,0.50-0.60,4-6h,0.5,0.6,4,6,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 4, ""horizon_max"": 6}",1,17,119,0,136,1.0,1.0,,0.5473529411764706,0.4526470588235294,0.4526470588235294,0.9110189646211551,0.8269747447608812,1.0,1.0,0.5473529411764706,0.4526470588235294,0.907563025210084,0.5196512605042017,0.3879117647058823,0.38791176470588234,0.7769718132397981,0.322383554689461,,,,,1.5609184162189118,train,selected,1.0,0.5473529411764706,0.4526470588235294,0.4526470588235294,0.9110189646211551,0.8269747447608812,0.907563025210084,0.5196512605042017,0.3879117647058823,0.38791176470588234,0.7769718132397981,0.7464847950710317
ncaa.com|SPORTS|other,ncaa.com,SPORTS,other,153708587920165,0.40-0.50,2-4h,0.4,0.5,2,4,"{""price_min"": 0.4, ""price_max"": 0.5, ""horizon_min"": 2, ""horizon_max"": 4}",-1,750,40,0,790,0.112,0.112,,0.480688,-0.368688,-0.368688,-0.7391760345825017,0.7099547093076994,0.112,0.112,0.480688,-0.368688,0.025,0.44065000000000004,-0.41565,-0.41565,-0.8379612723661243,0.31183340511992225,,,,,1.5532919347233218,train,selected,0.888,0.519312,0.368688,0.368688,0.7391760345825017,0.7099547093076994,0.975,0.55935,0.41565,0.41565,0.8379612723661243,0.7430946634486457
icc-cricket.com|SPORTS|no_yes,icc-cricket.com,SPORTS,no_yes,277752028737350,0.50-0.60,4-6h,0.5,0.6,4,6,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 4, ""horizon_max"": 6}",1,48,21,0,69,0.9791666666666666,0.9791666666666666,,0.5290416666666667,0.4501249999999999,0.45012499999999994,0.9025186222828014,0.8508309049381741,0.9791666666666666,0.9791666666666666,0.5290416666666667,0.4501249999999999,1.0,0.5298571428571429,0.4701428571428571,0.4701428571428571,0.942739389590321,0.31549903387865497,,,,,1.5141641215108104,train,selected,0.9791666666666666,0.5290416666666667,0.4501249999999999,0.45012499999999994,0.9025186222828014,0.8508309049381741,1.0,0.5298571428571429,0.4701428571428571,0.4701428571428571,0.942739389590321,0.8873011593421405
ncaa.com|SPORTS|other,ncaa.com,SPORTS,other,237387060584842,0.50-0.60,2-4h,0.5,0.6,2,4,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 2, ""horizon_max"": 4}",1,548,22,0,570,0.9835766423357665,0.9835766423357665,,0.5295364963503649,0.45404014598540154,0.45404014598540143,0.9108703639494461,0.8574293728849772,0.9835766423357665,0.9835766423357665,0.5295364963503649,0.45404014598540154,1.0,0.5429318181818182,0.45706818181818176,0.45706818181818176,0.9180982136249692,0.30840865609222057,,,,,1.4732786436537584,train,selected,0.9835766423357665,0.5295364963503649,0.45404014598540154,0.45404014598540143,0.9108703639494461,0.8574293728849772,1.0,0.5429318181818182,0.45706818181818176,0.45706818181818176,0.9180982136249692,0.8418518983632632
UNKNOWN|POLITICS|no_yes,UNKNOWN,POLITICS,no_yes,74338963924313,0.40-0.50,6-12h,0.4,0.5,6,12,"{""price_min"": 0.4, ""price_max"": 0.5, ""horizon_min"": 6, ""horizon_max"": 12}",1,130,27,6,163,0.6538461538461539,0.6538461538461539,,0.45171538461538463,0.20213076923076922,0.20213076923076922,0.407297641959911,0.4474737326090288,0.6538461538461539,0.6538461538461539,0.45171538461538463,0.20213076923076922,0.9259259259259259,0.4520740740740741,0.47385185185185186,0.47385185185185186,0.9545208266250853,0.31422615301861967,,,0.6666666666666666,0.21833333333333332,1.4378168929889972,train,selected,0.6538461538461539,0.45171538461538463,0.20213076923076922,0.20213076923076922,0.407297641959911,0.4474737326090288,0.9259259259259259,0.4520740740740741,0.47385185185185186,0.47385185185185186,0.9545208266250853,1.0481730296575456
UNKNOWN|POLITICS|no_yes,UNKNOWN,POLITICS,no_yes,99690163497357,0.40-0.50,4-6h,0.4,0.5,4,6,"{""price_min"": 0.4, ""price_max"": 0.5, ""horizon_min"": 4, ""horizon_max"": 6}",1,116,19,2,137,0.6637931034482759,0.6637931034482759,,0.45742672413793106,0.20636637931034485,0.20636637931034485,0.41613210018458135,0.45114631135569105,0.6637931034482759,0.6637931034482759,0.45742672413793106,0.20636637931034485,0.9473684210526315,0.45663157894736844,0.4907368421052631,0.49073684210526314,0.9875655730637596,0.2969762676871795,,,0.5,0.06999999999999995,1.3102143928954797,train,selected,0.6637931034482759,0.45742672413793106,0.20636637931034485,0.20636637931034485,0.41613210018458135,0.45114631135569105,0.9473684210526315,0.45663157894736844,0.4907368421052631,0.49073684210526314,0.9875655730637596,1.0746887966804979
kick.com|SPORTS|over_under,kick.com,SPORTS,over_under,45670731956162,0.50-0.60,6-12h,0.5,0.6,6,12,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 6, ""horizon_max"": 12}",1,22,102,0,124,0.9090909090909091,0.9090909090909091,,0.5362727272727272,0.3728181818181818,0.3728181818181818,0.7497069893388862,0.6952025767079166,0.9090909090909091,0.9090909090909091,0.5362727272727272,0.3728181818181818,0.8823529411764706,0.5163235294117647,0.3660294117647058,0.3660294117647059,0.7330293975955744,0.28922057153560354,,,,,1.2702719319388178,train,selected,0.9090909090909091,0.5362727272727272,0.3728181818181818,0.3728181818181818,0.7497069893388862,0.6952025767079166,0.8823529411764706,0.5163235294117647,0.3660294117647058,0.3660294117647059,0.7330293975955744,0.7089148390771859
UNKNOWN|POLITICS|no_yes,UNKNOWN,POLITICS,no_yes,212190649060540,0.50-0.60,4-6h,0.5,0.6,4,6,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 4, ""horizon_max"": 6}",1,130,20,6,156,0.7692307692307693,0.7692307692307693,,0.5515076923076923,0.21772307692307702,0.2177230769230769,0.4387477525171137,0.3947779513501451,0.7692307692307693,0.7692307692307693,0.5515076923076923,0.21772307692307702,1.0,0.5561,0.44389999999999996,0.4439,0.8945151254441879,0.28276987450506674,,,0.8333333333333334,0.30833333333333335,1.2667527954194382,train,selected,0.7692307692307693,0.5515076923076923,0.21772307692307702,0.2177230769230769,0.4387477525171137,0.3947779513501451,1.0,0.5561,0.44389999999999996,0.4439,0.8945151254441879,0.798237727027513
icc-cricket.com|SPORTS|no_yes,icc-cricket.com,SPORTS,no_yes,126137588274004,0.50-0.60,>24h,0.5,0.6,24,1000,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 24, ""horizon_max"": 1000}",1,74,35,0,109,0.9324324324324325,0.9324324324324325,,0.5249662162162163,0.40746621621621615,0.4074662162162162,0.8165573524606797,0.7761760731063774,0.9324324324324325,0.9324324324324325,0.5249662162162163,0.40746621621621615,0.9428571428571428,0.5274571428571428,0.4154,0.4154,0.8329364977802404,0.28646904974915677,,,,,1.2590642927210611,train,selected,0.9324324324324325,0.5249662162162163,0.40746621621621615,0.4074662162162162,0.8165573524606797,0.7761760731063774,0.9428571428571428,0.5274571428571428,0.4154,0.4154,0.8329364977802404,0.7875521369373273
